epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9518,1.06378,2.7388,1.06262,0.15504,0.7963,0.44437,0.25576,1.0287,3.12043,1.0418,0.00030303,0.00030303,0.07
2,19.3768,0.90857,1.61837,1.02377,0.89447,0.52093,0.87419,0.63567,0.80676,2.65985,0.95744,0.000604864,0.000604864,0.0369685
3,23.4851,0.8842,1.41451,1.0159,0.98999,0.48966,0.97978,0.71304,0.75448,2.565,0.9251,0.000873697,0.000873697,0.003904
4,28.6501,0.8597,1.30506,0.9966,0.99948,0.49686,0.99137,0.73754,0.76124,2.44886,0.93323,0.0008515,0.0008515,0.0008515
5,33.0756,0.86789,1.19558,1.00786,1,0.67081,0.99377,0.71798,0.82905,2.11915,0.96334,0.000802,0.000802,0.000802
6,37.2147,0.79244,1.16912,0.99825,0.96988,0.92188,0.98936,0.76471,0.74294,1.7094,0.92248,0.0007525,0.0007525,0.0007525
7,41.2438,0.76752,1.09717,0.96871,0.99222,0.99763,0.995,0.76355,0.69752,1.42466,0.91529,0.000703,0.000703,0.000703
8,45.307,0.783,1.0546,0.97312,0.99647,0.99337,0.995,0.78537,0.68542,1.36197,0.92335,0.0006535,0.0006535,0.0006535
9,49.3272,0.74038,1.0273,0.96466,0.99034,0.99275,0.99482,0.76816,0.66758,1.27521,0.91007,0.000604,0.000604,0.000604
10,53.3915,0.69867,1.02035,0.96415,0.99546,1,0.995,0.80301,0.58375,1.06967,0.88412,0.0005545,0.0005545,0.0005545
11,57.2526,0.59748,1.0219,0.89938,0.99654,0.9971,0.995,0.82384,0.54749,1.10539,0.87299,0.000505,0.000505,0.000505
12,61.0447,0.585,0.99311,0.88248,0.9938,0.99819,0.995,0.83169,0.53618,0.99968,0.87384,0.0004555,0.0004555,0.0004555
13,64.858,0.55371,0.94652,0.89047,0.993,1,0.995,0.83533,0.51727,0.95546,0.86904,0.000406,0.000406,0.000406
14,68.7811,0.55192,0.94035,0.88031,0.99189,1,0.995,0.82663,0.5149,0.91115,0.86833,0.0003565,0.0003565,0.0003565
15,72.6038,0.5501,0.91439,0.86605,0.98953,1,0.995,0.83361,0.50544,0.8861,0.8653,0.000307,0.000307,0.000307
16,76.4699,0.50915,0.90358,0.85928,0.99314,0.99896,0.995,0.84102,0.47994,0.88687,0.85897,0.0002575,0.0002575,0.0002575
17,80.2698,0.49756,0.89743,0.85496,0.99213,1,0.995,0.83836,0.46382,0.87883,0.85432,0.000208,0.000208,0.000208
18,84.109,0.50485,0.90882,0.87106,0.98688,0.98148,0.99437,0.84598,0.44582,0.90278,0.84965,0.0001585,0.0001585,0.0001585
19,87.97,0.4915,0.90698,0.86014,0.9606,1,0.99295,0.8422,0.43947,0.90016,0.84752,0.000109,0.000109,0.000109
20,91.8175,0.48631,0.89724,0.86153,0.96385,1,0.99465,0.84662,0.4375,0.88779,0.84696,5.95e-05,5.95e-05,5.95e-05
